actor	character	gender	birth_date	height
Tim Roth	Pumpkin	M	14.05.1961	1.73
Amanda Plummer	Honey Bunny	F	23.03.1957	1.63
John Travolta	Vincent Vega	M	14.02.1954	1.88
Samuel L. Jackson	Jules Winnfield	M	21.12.1948	1.89
Phil LaMarr	Marvin	M	24.01.1967	1.77
Frank Whaley	Brett	M	20.07.1963	1.75
Burr Steers	Roger	M	08.10.1965	
Bruce Willis	Butch Coolidge	M	19.03.1955	1.82
Ving Rhames	Marsellus Wallace	M	12.05.1959	1.80
Paul Calderon	Paul	M	07.07.1959	
Bronagh Gallagher	Trudi	F	26.04.1972	1.60
Rosanna Arquette	Jody	F	10.08.1959	1.64
Eric Stoltz	Lance	M	30.09.1961	1.84
Uma Thurman	Mia Wallace	F	29.04.1970	1.81
Jerome Patrick Hoban	Ed Sullivan	M	
Steve Buscemi	Buddy Holly	M	13.12.1957	1.73
Brenda Hillhouse	Butch's Mother	F	11.12.1953	
Christopher Walken	Captain Koons	M	31.03.1943	1.83
Chandler Lindauer	Young Butch	M	15.08.1986	
Angela Jones	Esmarelda Villalobos	F	23.12.1968	1.70
Carl Allen	Dead Floyd Wilson	M		
Maria de Medeiros	Fabienne	F	19.08.1965
Duane Whitaker	Maynard	M	23.06.1959	1.77
Peter Greene	Zed	M	08.10.1965	1.91
Quentin Tarantino	Jimmie	M	27.03.1963	1.85
Harvey Keitel	Winston Wolf	M	13.05.1939	1.73
Julia Sweeney	Raquel	F	10.10.1959	1.63
